Language,PSA_ID,Subject,Match,V_RT,V_Acc
English,CAN_020,site_CAN_020_79,Y,645.5,1
English,CAN_020,site_CAN_020_8,N,1039,0.9166666666666666
English,CAN_020,site_CAN_020_8,Y,931,0.75
English,CAN_020,site_CAN_020_80,N,662,0.9166666666666666
English,CAN_020,site_CAN_020_80,Y,641.5,1
English,CAN_020,site_CAN_020_81,N,517.5,0.9166666666666666
English,CAN_020,site_CAN_020_81,Y,469,0.9166666666666666
English,CAN_020,site_CAN_020_83,N,683.5,0.9166666666666666
English,CAN_020,site_CAN_020_83,Y,696.5,1
English,CAN_020,site_CAN_020_85,N,658,1
English,CAN_020,site_CAN_020_85,Y,627,1
English,CAN_020,site_CAN_020_86,N,751,0.8333333333333334
English,CAN_020,site_CAN_020_86,Y,740.5,1
English,CAN_020,site_CAN_020_87,N,655,0.75
English,CAN_020,site_CAN_020_87,Y,585,1
English,CAN_020,site_CAN_020_88,N,561,0.9166666666666666
English,CAN_020,site_CAN_020_88,Y,642,0.9166666666666666
English,CAN_020,site_CAN_020_89,N,602.5,1
English,CAN_020,site_CAN_020_89,Y,534.5,1
English,CAN_020,site_CAN_020_9,N,544.5,1
English,CAN_020,site_CAN_020_9,Y,519,1
English,CAN_020,site_CAN_020_90,N,726,0.75
English,CAN_020,site_CAN_020_90,Y,758.5,0.75
English,CAN_020,site_CAN_020_91,N,999.5,0.8333333333333334
English,CAN_020,site_CAN_020_91,Y,1064,0.9166666666666666
English,CAN_020,site_CAN_020_92,N,641,0.9166666666666666
English,CAN_020,site_CAN_020_92,Y,643.5,1
English,CAN_020,site_CAN_020_93,N,741.5,1
English,CAN_020,site_CAN_020_93,Y,818.5,1
English,CAN_020,site_CAN_020_94,N,412,1
English,CAN_020,site_CAN_020_94,Y,444.5,1
English,CAN_020,site_CAN_020_95,N,466,0.9166666666666666
English,CAN_020,site_CAN_020_95,Y,526.5,0.9166666666666666
English,CAN_020,site_CAN_020_96,N,440.5,1
English,CAN_020,site_CAN_020_96,Y,424.5,0.8333333333333334
English,CAN_020,site_CAN_020_97,N,621,0.9166666666666666
English,CAN_020,site_CAN_020_97,Y,484.5,1
English,CAN_020,site_CAN_020_98,N,515.5,0.9166666666666666
English,CAN_020,site_CAN_020_98,Y,517,1
English,GBR_005,site_GBR_005_1,N,548.5,1
English,GBR_005,site_GBR_005_1,Y,652.5,1
English,GBR_005,site_GBR_005_10,N,704,1
English,GBR_005,site_GBR_005_10,Y,721,1
English,GBR_005,site_GBR_005_11,N,424,1
English,GBR_005,site_GBR_005_11,Y,491.5,0.8333333333333334
English,GBR_005,site_GBR_005_12,N,704,0.9166666666666666
English,GBR_005,site_GBR_005_12,Y,573,1
English,GBR_005,site_GBR_005_13,N,833.5,0.6666666666666666
English,GBR_005,site_GBR_005_13,Y,623.5,1
English,GBR_005,site_GBR_005_14,N,768,1
English,GBR_005,site_GBR_005_14,Y,912.5,0.9166666666666666
English,GBR_005,site_GBR_005_15,N,456.5,0.9166666666666666
